轮次	训练损失	训练准确率	验证损失	验证准确率
1	0.523920	92.2737	0.169760	100.0000
2	0.000166	100.0000	0.002453	100.0000
3	0.000005	100.0000	0.000022	100.0000
4	0.000002	100.0000	0.000002	100.0000
5	0.000001	100.0000	0.000001	100.0000
6	0.000001	100.0000	0.000001	100.0000
7	0.000001	100.0000	0.000000	100.0000
8	0.000000	100.0000	0.000000	100.0000
9	0.000000	100.0000	0.000000	100.0000
10	0.000001	100.0000	0.000000	100.0000
11	0.000000	100.0000	0.000000	100.0000
12	0.000000	100.0000	0.000000	100.0000
13	0.000000	100.0000	0.000000	100.0000
14	0.000001	100.0000	0.000000	100.0000
15	0.000000	100.0000	0.000000	100.0000
16	0.000001	100.0000	0.000000	100.0000
17	0.000001	100.0000	0.000000	100.0000
18	0.000001	100.0000	0.000000	100.0000
19	0.000001	100.0000	0.000000	100.0000
20	0.000001	100.0000	0.000000	100.0000
21	0.000001	100.0000	0.000000	100.0000
22	0.000001	100.0000	0.000000	100.0000
23	0.000001	100.0000	0.000000	100.0000
24	0.000001	100.0000	0.000000	100.0000
25	0.000000	100.0000	0.000000	100.0000
26	0.000000	100.0000	0.000000	100.0000
27	0.000000	100.0000	0.000000	100.0000
28	0.000000	100.0000	0.000000	100.0000
29	0.000000	100.0000	0.000000	100.0000
30	0.000000	100.0000	0.000000	100.0000
31	0.000000	100.0000	0.000000	100.0000
32	0.000000	100.0000	0.000000	100.0000
33	0.000000	100.0000	0.000000	100.0000
34	0.000000	100.0000	0.000000	100.0000
35	0.000000	100.0000	0.000000	100.0000
36	0.000000	100.0000	0.000000	100.0000
37	0.000000	100.0000	0.000000	100.0000
38	0.000000	100.0000	0.000000	100.0000
39	0.000000	100.0000	0.000000	100.0000
40	0.000000	100.0000	0.000000	100.0000
41	0.000000	100.0000	0.000000	100.0000
42	0.000000	100.0000	0.000000	100.0000
43	0.000000	100.0000	0.000000	100.0000
44	0.000000	100.0000	0.000000	100.0000
45	0.000000	100.0000	0.000000	100.0000
46	0.000000	100.0000	0.000000	100.0000
47	0.000000	100.0000	0.000000	100.0000
48	0.000000	100.0000	0.000000	100.0000
49	0.000000	100.0000	0.000000	100.0000
50	0.000000	100.0000	0.000000	100.0000
51	0.000000	100.0000	0.000000	100.0000
52	0.000000	100.0000	0.000000	100.0000
53	0.000000	100.0000	0.000000	100.0000
54	0.000000	100.0000	0.000000	100.0000
55	0.000000	100.0000	0.000000	100.0000
56	0.000000	100.0000	0.000000	100.0000
57	0.000000	100.0000	0.000000	100.0000
58	0.000000	100.0000	0.000000	100.0000
59	0.000000	100.0000	0.000000	100.0000
60	0.000000	100.0000	0.000000	100.0000
61	0.000000	100.0000	0.000000	100.0000
62	0.000000	100.0000	0.000000	100.0000
63	0.000000	100.0000	0.000000	100.0000
64	0.000000	100.0000	0.000000	100.0000
65	0.000000	100.0000	0.000000	100.0000
66	0.000000	100.0000	0.000000	100.0000
67	0.000000	100.0000	0.000000	100.0000
68	0.000000	100.0000	0.000000	100.0000
69	0.000000	100.0000	0.000000	100.0000
70	0.000000	100.0000	0.000000	100.0000
71	0.000000	100.0000	0.000000	100.0000
72	0.000000	100.0000	0.000000	100.0000
73	0.000000	100.0000	0.000000	100.0000
74	0.000000	100.0000	0.000000	100.0000
75	0.000000	100.0000	0.000000	100.0000
76	0.000000	100.0000	0.000000	100.0000
77	0.000000	100.0000	0.000000	100.0000
78	0.000000	100.0000	0.000000	100.0000
79	0.000000	100.0000	0.000000	100.0000
80	0.000000	100.0000	0.000000	100.0000
81	0.000000	100.0000	0.000000	100.0000
82	0.000000	100.0000	0.000000	100.0000
83	0.000000	100.0000	0.000000	100.0000
84	0.000000	100.0000	0.000000	100.0000
85	0.000000	100.0000	0.000000	100.0000
86	0.000000	100.0000	0.000000	100.0000
87	0.000000	100.0000	0.000000	100.0000
88	0.000000	100.0000	0.000000	100.0000
89	0.000000	100.0000	0.000000	100.0000
90	0.000000	100.0000	0.000000	100.0000
91	0.000000	100.0000	0.000000	100.0000
92	0.000000	100.0000	0.000000	100.0000
93	0.000000	100.0000	0.000000	100.0000
94	0.000000	100.0000	0.000000	100.0000
95	0.000000	100.0000	0.000000	100.0000
96	0.000000	100.0000	0.000000	100.0000
97	0.000000	100.0000	0.000000	100.0000
98	0.000000	100.0000	0.000000	100.0000
99	0.000000	100.0000	0.000000	100.0000
100	0.000000	100.0000	0.000000	100.0000
